fecha,finura
1985-12-31,19.26
1986-12-31,19.86
1987-12-31,19.41
1988-12-31,18.65
1989-12-31,19.82
1990-12-31,20.23
1991-12-31,20.47
1992-12-31,19.8
1993-12-31,19.3
1994-12-31,18.87
1995-12-31,18.61
1996-12-31,18.51
1997-12-31,19.66
1998-12-31,19.09
1999-12-31,19.54
2000-12-31,20.8
2001-12-31,21
2002-12-31,20.93
2003-12-31,19.6
2004-12-31,19.2
2005-12-31,18.5
2006-12-31,19.3
2007-12-31,19.3
2008-12-31,20.36
2009-12-31,19.6
2010-12-31,18.78
2011-12-31,18.5
2012-12-31,20.2
2013-12-31,20.3
2014-12-31,19.4
2015-12-31,19.3
2016-12-31,19.8
2017-12-31,19.5
2018-12-31,19.8
2019-12-31,19.8
2020-12-31,19.6
